id,lon,lat,주차장,주정차,sumpark_sl,sumhouse_n,count,대중교?,sumbd_area,count_1,가점1,가점2,가점3,ADM_DR_NM,sum인구?,area,인구밀?,등록대?,경도_sum,위도_sum,주차원단위,법정원단위,가점4,순위
"500",129.10209,35.14039,"0",64.00000,,0.00000,1.00000,"0",84079.0000000000000000,5.0000000000000000,"0","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",1032.816400,281.123080,7.126620,5.365090,"0","276"
"501",129.10209,35.13819,"63",2067.00000,1881.00000,1461.00000,108.00000,"2",136063.4270000000251457,77.0000000000000000,"3","59","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",11619.221900,3162.398830,87.766210,63.419550,"45","34"
"502",129.10209,35.13598,"102",991.00000,567.00000,577.00000,158.00000,"0",117951.3209999999817228,144.0000000000000000,"1","101","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",20139.948300,5481.249780,154.990650,111.944520,"55","72"
"503",129.10209,35.13378,"1",1671.00000,8.00000,12.00000,26.00000,"1",18019.4549999999981083,11.0000000000000000,"0","9","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",2969.336100,808.075360,23.052380,16.334770,"17","221"
"504",129.10209,35.13157,"18",21.00000,207.00000,163.00000,43.00000,"2",20836.9499999999970896,28.0000000000000000,"0","21","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",4131.243800,1124.208380,32.109330,23.125620,"18","165"
"505",129.10209,35.12937,"9",210.00000,115.00000,28.00000,16.00000,"0",23160.2900000000008731,12.0000000000000000,"3","8","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",1807.420300,491.816530,14.177860,10.673410,"5","207"
"506",129.10209,35.12717,"5",17.00000,214.00000,0.00000,11.00000,"5",7683.1499999999996362,7.0000000000000000,"0","4","2",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",1032.815600,281.013410,8.435450,5.616430,"5","255"
"507",129.10209,35.12496,"5",112.00000,114.00000,3.00000,32.00000,"0",25570.8899999999994179,20.0000000000000000,"18","8","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",3098.431700,843.004020,57.821300,32.461910,"6","199"
"534",129.10478,35.14259,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"535",129.10478,35.14039,"3",45.00000,32.00000,0.00000,16.00000,"1",19130.7900000000008731,2.0000000000000000,"0","3","1",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",387.314100,105.419020,2.551150,1.920560,"12","285"
"536",129.10478,35.13819,"98",318.00000,719.00000,1065.00000,178.00000,"0",60515.1189999999769498,156.0000000000000000,"3","56","2",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",21818.743200,5938.342770,151.913230,109.690630,"116","45"
"537",129.10478,35.13598,"45",280.00000,200.00000,805.00000,75.00000,"0",34356.9524999999994179,59.0000000000000000,"2","12","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",9811.924400,2670.360080,73.197560,52.965730,"61","67"
"538",129.10478,35.13378,"1",0.00000,1851.00000,0.00000,58.00000,"0",26548.6899999999986903,5.0000000000000000,"58","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",903.734800,245.937030,7.175350,5.401770,"0","272"
"539",129.10478,35.13157,"1",0.00000,26.00000,0.00000,8.00000,"1",13094.1699999999982538,7.0000000000000000,"6","1","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",1420.155200,386.445080,11.047080,8.316500,"1","262"
"540",129.10478,35.12937,"5",3.00000,1093.00000,965.00000,49.00000,"1",1168.6000000000001364,7.0000000000000000,"2","4","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",1161.942000,316.164390,9.193070,6.565810,"32","64"
"541",129.10478,35.12717,"1",2.00000,422.00000,506.00000,18.00000,"0",19831.5800000000017462,12.0000000000000000,"1","1","2",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",1936.573000,526.915230,22.804590,14.114630,"14","110"
"571",129.10748,35.13819,"16",60.00000,339.00000,107.00000,42.00000,"1",34807.0000000000072760,28.0000000000000000,"2","16","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",3873.196700,1054.147290,26.076640,18.939320,"24","174"
"572",129.10748,35.13598,"0",144.00000,,0.00000,1.00000,"0",12786.0599999999994907,3.0000000000000000,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",516.430200,140.541650,4.097040,3.084350,"1","295"
"573",129.10748,35.13378,"0",0.00000,,,,"0",12017.9600000000009459,2.0000000000000000,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",387.322100,105.400590,3.077880,2.317090,"0","302"
"574",129.10748,35.13157,"1",0.00000,45.00000,0.00000,1.00000,"0",20442.5280000000020664,3.0000000000000000,"1","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",516.433400,140.524950,14.288280,8.610610,"0","249"
